Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250049-València-Conselleria Meteo.
	
FECHA	HORA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	Veloc.máx.
04/01/2022	16	3,4	271	22,3	34	995	179	0	9,9
04/01/2022	17	5,4	276	21,4	30	995	38	0	13,4
04/01/2022	18	3,7	284	19,6	33	995	1	0	8,7
04/01/2022	19	4,8	261	18,4	40	995	1	0	12,4
04/01/2022	20	8,1	272	15,8	47	996	1	0	20,6
04/01/2022	21	5,3	265	13,8	51	996	1	0	14,1
04/01/2022	22	5,2	258	12,8	58	996	1	0	14,6
04/01/2022	23	5,6	261	12,3	57	996	1	0	14,4
05/01/2022	00	6	270	11,8	54	996	1	0	15,4
05/01/2022	01	8,9	302	12,1	47	996	1	0	18
05/01/2022	02	6,2	294	11,9	44	997	1	0	14,3
05/01/2022	03	6	285	12,1	40	997	1	0	15,2
05/01/2022	04	6,1	296	12	40	998	1	0	13,5
05/01/2022	05	7,3	309	11,9	40	998	1	0	14
05/01/2022	06	4,6	294	11,2	42	999	1	0	11,4
05/01/2022	07	7,7	307	11	42	999	1	0	14
05/01/2022	08	4,9	313	11	40	1001	37	0	13,3
05/01/2022	09	7,6	310	11,5	35	1002	199	0	17,9
05/01/2022	10	8,9	309	12	30	1002	358	0	17,2
05/01/2022	11	7,3	311	11,6	32	1003	201	0	14,7
05/01/2022	12	12,4	312	11,8	30	1002	362	0	22,5
05/01/2022	13	9,4	309	12,7	28	1002	533	0	19,5
05/01/2022	14	8,1	309	13,4	25	1001	455	0	16,8
05/01/2022	15	3,9	295	13,4	26	1001	196	0	12
05/01/2022	16	0,8	340	13,4	27	1001	83	0	3,8
05/01/2022	17	0,7	33	13,5	28	1000	35	0	2,6
05/01/2022	18	2,2	309	12,7	30	1001	1	0	6,6
05/01/2022	19	0,9	284	12	32	1001	1	0	4,7
05/01/2022	20	1,8	313	11,9	34	1002	1	0	4,8
05/01/2022	21	3,8	317	11,7	37	1001	1	0	8
05/01/2022	22	1,1	310	11,3	39	1002	1	0	3,3
05/01/2022	23	0,5	335	10,9	42	1002	1	0	1,4
06/01/2022	00	0,1	345	10,2	44	1002	1	0	0,6
06/01/2022	01	2,2	324	9,6	46	1001	1	0	7,1
06/01/2022	02	5,1	263	9,7	45	1001	1	0	15
06/01/2022	03	3,7	286	9,2	44	1002	1	0	9,9
06/01/2022	04	1,3	324	8,3	44	1002	1	0	4,8
06/01/2022	05	2,4	320	7,6	43	1002	1	0	6
06/01/2022	06	5	315	6,9	43	1003	1	0	8,8
06/01/2022	07	2,8	312	6,1	47	1004	1	0	6,6
06/01/2022	08	2,3	310	5,4	49	1004	37	0	6,2
06/01/2022	09	1,8	313	6,5	42	1005	201	0	5,5
06/01/2022	10	1	299	8,1	36	1006	364	0	4,5
06/01/2022	11	0,5	301	10,1	26	1006	483	0	4
06/01/2022	12	0,1	283	12,3	20	1006	545	0	1,5
06/01/2022	13	0,3	268	12,2	18	1005	531	0	3,4
06/01/2022	14	0,5	268	12,8	16	1005	486	0	4
06/01/2022	15	0,1	249	13,5	15	1004	368	0	2,7
06/01/2022	16	0,2	243	13,9	15	1004	210	0	2,8
06/01/2022	17	2,4	159	11,9	29	1005	47	0	5,2
06/01/2022	18	1,2	165	10,2	39	1006	2	0	2,9
06/01/2022	19	0,1	76	9,2	44	1007	1	0	0,3
06/01/2022	20	0,1	332	8,9	43	1007	1	0	0,7
06/01/2022	21	0,2	312	7,4	48	1007	1	0	1
06/01/2022	22	2,7	316	6,2	43	1008	1	0	5,3
06/01/2022	23	2,9	315	5,1	46	1009	1	0	6,2
07/01/2022	00	2,8	301	4,8	44	1009	1	0	6,4
07/01/2022	01	2,3	297	4,1	46	1009	1	0	5,8
07/01/2022	02	1,4	281	4,2	45	1009	1	0	4,3
07/01/2022	03	2,1	292	4,2	45	1010	1	0	5,4
07/01/2022	04	1,2	283	4,8	43	1010	1	0	4,2
07/01/2022	05	0,8	269	4,7	46	1009	1	0	3,4
07/01/2022	06	0,8	267	4,7	49	1010	1	0	3,4
07/01/2022	07	0,6	259	4,3	52	1010	1	0	3,1
07/01/2022	08	0,6	264	4,1	52	1011	35	0	2,9
07/01/2022	09	0,9	252	5,3	48	1011	193	0	3,5
07/01/2022	10	1,7	226	7,4	45	1011	351	0	4,8
07/01/2022	11	1,2	236	10,6	37	1012	467	0	5,1
07/01/2022	12	1,3	211	12,7	32	1011	527	0	4,3
07/01/2022	13	1,3	166	14,2	32	1010	508	0	3,9
07/01/2022	14	1,8	156	14,9	31	1009	464	0	4,5
07/01/2022	15	2,6	243	16	34	1009	335	0	9,7
07/01/2022	16	5,4	292	15,5	32	1010	191	0	14,8
07/01/2022	17	6,7	304	14,4	34	1011	47	0	15,8
07/01/2022	18	5,4	305	13,4	35	1012	1	0	12,5
07/01/2022	19	3,9	284	12,6	37	1013	1	0	11,8
07/01/2022	20	3,6	300	12,2	39	1013	1	0	10,2
07/01/2022	21	6,1	314	11,8	40	1014	1	0	13,2
07/01/2022	22	6,6	302	11,9	39	1014	1	0	15,3
07/01/2022	23	5,6	301	11,7	38	1014	1	0	11,9
08/01/2022	00	3,3	299	11,1	40	1014	1	0	8,3
08/01/2022	01	3,4	289	9,9	44	1014	1	0	6,9
08/01/2022	02	5,5	315	10,3	43	1014	1	0	10
08/01/2022	03	1,4	253	8,4	49	1014	1	0	4,5
08/01/2022	04	1,7	256	7,8	52	1013	1	0	4,7
08/01/2022	05	1,9	266	6,8	56	1013	1	0	5,7
08/01/2022	06	2,2	274	6,4	57	1013	1	0	5,4
08/01/2022	07	2,2	254	6,5	57	1014	1	0	4,7
08/01/2022	08	1,3	262	6,3	58	1014	36	0	4,8
08/01/2022	09	0,7	283	7	56	1014	194	0	3,3
08/01/2022	10	0,5	281	9,5	49	1014	363	0	3,5
08/01/2022	11	1,3	255	12,1	40	1014	486	0	5,2
08/01/2022	12	0,8	245	13,7	34	1013	484	0	4,3
08/01/2022	13	0,1	290	15,8	28	1012	439	0	0,9
08/01/2022	14	0,3	302	16,4	24	1011	340	0	3
08/01/2022	15	0,6	278	16,4	24	1010	325	0	3,1
08/01/2022	16	0,9	199	15,6	32	1009	128	0	3,7
08/01/2022	17	2,5	210	14,1	36	1008	27	0	5,7
08/01/2022	18	4,2	246	13,1	37	1008	2	0	9,6
08/01/2022	19	4,4	256	11,7	43	1009	1	0	11,3
08/01/2022	20	4,7	266	11	43	1008	1	0	11,3
08/01/2022	21	4,1	256	10,4	44	1008	1	0	10,2
08/01/2022	22	2,5	263	10,5	41	1008	1	0	6,9
08/01/2022	23	4,8	275	11,3	37	1007	1	0	11,7
09/01/2022	00	5,5	296	11,2	37	1007	1	0	11,6
09/01/2022	01	3,7	288	11	37	1007	1	0	8,7
09/01/2022	02	7,4	277	10	46	1006	1	0	15,1
09/01/2022	03	6,7	277	9,7	46	1006	1	0	13,6
09/01/2022	04	7,1	275	9,2	48	1006	1	0	15,3
09/01/2022	05	6,6	294	8,7	51	1005	1	0	15,7
09/01/2022	06	6,2	292	8,7	50	1005	1	0	13,1
09/01/2022	07	6	273	8,6	51	1006	1	0	13,4
09/01/2022	08	3,5	286	8,9	51	1006	14	0	8,9
09/01/2022	09	4,7	294	9,5	50	1006	76	0	11,3
09/01/2022	10	5,1	287	10,2	49	1007	121	0	11,9
09/01/2022	11	4,9	285	11,4	47	1006	327	0	12,3
09/01/2022	12	4,6	287	12,9	46	1005	384	0	12,4
09/01/2022	13	5,8	274	15	42	1004	454	0	16,3
09/01/2022	14	8,1	266	16,1	39	1003	400	0	17,5
09/01/2022	15	6,8	243	16,6	40	1002	305	0	16,4
09/01/2022	16	3,6	230	17,3	40	1001	186	0	8,7
09/01/2022	17	3,8	277	17,9	33	1002	41	0	10,8
09/01/2022	18	4,2	275	16,5	39	1002	2	0	11,1
09/01/2022	19	5,4	258	15,4	47	1002	1	0	14,2
09/01/2022	20	4,1	252	15	50	1003	1	0	11,4
09/01/2022	21	6,4	252	14,7	53	1003	1	0	14,7
09/01/2022	22	8,2	262	14,5	54	1002	1	0	17,5
09/01/2022	23	7,3	265	14	57	1002	1	0	17,5
10/01/2022	00	4,8	265	14	58	1002	1	0	13,1
10/01/2022	01	8,1	265	14	58	1001	1	0	16,9
10/01/2022	02	8,3	267	13,8	59	1001	1	0	17,3
10/01/2022	03	7,1	256	13,8	60	1001	1	0	16,8
10/01/2022	04	9,3	244	13,4	62	1000	1	0	17,2
10/01/2022	05	7,6	254	13,8	61	1000	1	0	16,3
10/01/2022	06	3,7	263	14,3	59	1000	1	0	9,3
10/01/2022	07	4,1	214	13,8	61	1000	1	0	9
10/01/2022	08	6	229	13,7	62	1001	42	0	11,8
10/01/2022	09	3,4	248	15	57	1001	215	0	9,6
10/01/2022	10	4,4	244	16	54	1001	386	0	10,1
10/01/2022	11	3,9	245	17,9	49	1002	547	0	9,7
10/01/2022	12	3,2	246	20,4	41	1002	427	0	9,6
10/01/2022	13	3,8	242	20,8	37	1001	256	0	11,4
10/01/2022	14	4,1	269	20,5	38	1001	281	0	13,2
10/01/2022	15	5,9	306	21,3	33	1001	409	0	14,7
10/01/2022	16	6,2	303	21,4	32	1001	217	0	15,1
10/01/2022	17	5,2	297	20,8	32	1001	52	0	13,3
10/01/2022	18	1,3	162	16,9	59	1003	2	0	6,4
10/01/2022	19	1,2	145	14	86	1005	1	0	6,4
10/01/2022	20	0,6	144	13,1	88	1006	1	0	3,5
10/01/2022	21	0,8	124	13,1	86	1006	1	0	2,6
10/01/2022	22	3	134	12,4	89	1007	1	0	5,4
10/01/2022	23	2,4	124	12,3	88	1008	1	0	4,4
11/01/2022	00	0,7	144	12,4	86	1008	1	0	1,1
11/01/2022	01	0,2	178	12,4	87	1008	0	0	1,3
11/01/2022	02	1	177	11,6	92	1008	0	6,8	3,3
11/01/2022	03	3,7	127	10,4	97	1009	0	1,2	6,7
11/01/2022	04	4,2	128	9,8	99	1009	0	0,4	7,4
11/01/2022	05	2	128	10	97	1009	0	0	3,9
11/01/2022	06	0,2	140	10,3	96	1009	0	0	0,7
11/01/2022	07	0,1	149	10,6	93	1010	0	0	0,2
11/01/2022	08	0,1	116	10,8	91	1010	3	0	0,4
11/01/2022	09	0,4	128	10,8	91	1011	13	0	1,5
11/01/2022	10	1	157	10,9	89	1012	43	0	3
11/01/2022	11	1	159	11,1	86	1012	96	0	3,3
11/01/2022	12	0,7	155	11,6	83	1012	129	0	2,4
11/01/2022	13	1,7	155	11,8	80	1012	208	0	3,8
11/01/2022	14	0,4	227	13,8	71	1011	407	0	2,9
11/01/2022	15	0,1	282	15	65	1011	298	0	0,9
11/01/2022	16	0,1	313	16,1	61	1010	178	0	0,4
11/01/2022	17	0,6	182	13,8	70	1010	52	0	2,5
11/01/2022	18	1,4	178	11,9	80	1011	1	0	3,6
11/01/2022	19	0,6	177	11,3	84	1011	1	0	2,4
11/01/2022	20	0,2	226	10,9	85	1011	1	0	1,1
11/01/2022	21	0,1	233	10,7	85	1011	1	0	0,1
11/01/2022	22	0,1	310	10,1	89	1012	1	0	1
11/01/2022	23	0,5	313	9,2	90	1012	1	0	2,2
12/01/2022	00	0,8	311	8,8	88	1012	1	0	3,2
12/01/2022	01	2,2	317	8,4	83	1012	1	0	4,6
12/01/2022	02	2,3	316	8,3	73	1013	1	0	5,2
12/01/2022	03	0,8	304	7,5	74	1014	1	0	2,8
12/01/2022	04	0,3	309	7	74	1014	1	0	2,1
12/01/2022	05	1,6	310	6,8	71	1014	1	0	4,2
12/01/2022	06	2,9	314	6,7	67	1014	1	0	6
12/01/2022	07	3,7	312	6,5	65	1015	1	0	6,9
12/01/2022	08	4,1	318	6,3	63	1015	29	0	6,5
12/01/2022	09	2,7	317	7,3	58	1016	190	0	5,7
12/01/2022	10	1,4	314	8,9	55	1016	294	0	4,1
12/01/2022	11	0,2	358	13	44	1017	480	0	1,4
12/01/2022	12	1	90	13,6	41	1016	544	0	5,1
12/01/2022	13	0,3	143	14,6	39	1016	533	0	2,6
12/01/2022	14	0,6	138	14,7	45	1015	490	0	3,5
12/01/2022	15	1,2	90	13,8	58	1015	371	0	5,8
12/01/2022	16	0,9	79	13,6	66	1015	180	0	4,3
12/01/2022	17	0,8	162	13,4	69	1016	60	0	3,2
12/01/2022	18	1	126	12,2	74	1016	2	0	3,8
12/01/2022	19	0,9	131	12	76	1017	1	0	3,6
12/01/2022	20	0,5	88	11,7	78	1017	1	0	2,7
12/01/2022	21	1	113	11,7	77	1018	1	0	3,4
12/01/2022	22	2,5	113	11,6	74	1018	1	0	5,6
12/01/2022	23	0,4	4	10,7	78	1018	1	0	1,2
13/01/2022	00	1	334	9,7	85	1019	1	0	3,3
13/01/2022	01	2,7	17	9,1	89	1019	1	0,8	5,7
13/01/2022	02	1,5	351	8,9	91	1019	0	2,4	4,8
13/01/2022	03	1,9	88	8,8	92	1019	0	0,4	4,9
13/01/2022	04	0,3	321	8,9	90	1019	0	0	2,2
13/01/2022	05	0,1	329	8,5	93	1020	0	0	0,6
13/01/2022	06	0,1	326	8,3	93	1020	0	0	0,8
13/01/2022	07	0,1	330	7,9	93	1020	1	0	0,9
13/01/2022	08	0,1	328	7,5	94	1020	22	0	0,8
13/01/2022	09	0,2	323	8,6	86	1021	163	0	1,1
13/01/2022	10	0,1	336	10,8	77	1021	338	0	0,4
13/01/2022	11	0,6	48	11,6	71	1021	362	0	2,7
13/01/2022	12	0,1	57	12,7	62	1021	334	0	1,6
13/01/2022	13	0,3	63	12,4	59	1021	300	0	2
13/01/2022	14	0,2	90	12,9	56	1020	330	0	2,3
13/01/2022	15	0,2	90	13,7	51	1020	368	0	2,7
13/01/2022	16	0,2	111	13,6	52	1020	210	0	2,5
13/01/2022	17	0,2	113	12,4	60	1020	54	0	2,2
13/01/2022	18	0,8	119	10,8	69	1020	2	0	2
13/01/2022	19	0,2	116	10,5	71	1021	1	0	0,6
13/01/2022	20	0,9	20	9,7	75	1021	1	0	1,9
13/01/2022	21	0,2	317	8,3	81	1021	1	0	1,1
13/01/2022	22	1,7	313	6,8	85	1021	1	0	4,2
13/01/2022	23	1,4	322	6,2	85	1022	1	0	3,3
14/01/2022	00	1,9	319	5,9	84	1022	1	0	3,9
14/01/2022	01	3	319	5,3	85	1021	1	0	5,3
14/01/2022	02	3,5	318	4,9	85	1021	1	0	6,2
14/01/2022	03	3,6	314	4,5	83	1021	1	0	7,2
14/01/2022	04	3,4	316	4,2	83	1021	1	0	6,8
14/01/2022	05	3,4	315	4,4	81	1021	1	0	6,5
14/01/2022	06	3,4	317	4,7	78	1021	1	0	7,5
14/01/2022	07	2,2	319	5,1	76	1021	1	0	5,2
14/01/2022	08	2,4	310	5,5	75	1021	20	0	5,4
14/01/2022	09	2,3	316	5,6	72	1021	122	0	5
14/01/2022	10	2	315	6,7	64	1022	171	0	5
14/01/2022	11	0,5	322	9,5	55	1022	489	0	3
14/01/2022	12	1,6	26	10,7	57	1021	453	0	5,2
14/01/2022	13	2,4	34	11	54	1020	461	0	5,9
14/01/2022	14	1,4	64	11,8	48	1019	454	0	5,6
14/01/2022	15	1,9	35	11,4	53	1019	338	0	5,6
14/01/2022	16	1,3	39	11,2	52	1018	159	0	3,9
14/01/2022	17	1,2	47	10,6	52	1018	30	0	4,6
14/01/2022	18	0,4	47	10,3	66	1019	2	0	2,1
14/01/2022	19	0,1	33	10,2	68	1019	1	0	0,3
14/01/2022	20	0,8	16	9,8	66	1019	1	0	1,4
14/01/2022	21	0,2	358	9,2	69	1019	1	0	0,6
14/01/2022	22	1,3	310	8	74	1018	1	0	3,2
14/01/2022	23	2,9	315	6,7	76	1018	1	0	5,3
15/01/2022	00	3,5	317	6	78	1018	1	0	6,1
15/01/2022	01	2	307	5,7	78	1018	1	0	5,5
15/01/2022	02	2,3	309	5,4	77	1017	1	0	6,1
15/01/2022	03	2,3	310	5,1	76	1017	1	0	5,7
15/01/2022	04	2,2	311	4,8	76	1016	1	0	5,7
15/01/2022	05	1,4	311	4,3	78	1016	1	0	4,2
15/01/2022	06	1,1	300	4,1	76	1016	1	0	4,5
15/01/2022	07	1,4	282	4	77	1017	2	0	4,4
15/01/2022	08	1,5	288	4,8	73	1017	37	0	3,9
15/01/2022	09	2,2	298	5,3	69	1017	196	0	6,5
15/01/2022	10	0,2	272	7,6	64	1017	363	0	2,3
15/01/2022	11	0,1	247	10	58	1017	485	0	2
15/01/2022	12	0,2	245	12,2	49	1016	548	0	2,3
15/01/2022	13	1	154	13,6	47	1014	529	0	3
15/01/2022	14	1,9	215	13,9	41	1013	496	0	7,7
15/01/2022	15	2,5	243	14,3	36	1012	384	0	8,1
15/01/2022	16	1,9	246	14,7	33	1012	226	0	6,6
15/01/2022	17	3,5	182	12,8	50	1012	62	0	7,5
15/01/2022	18	3,7	161	10,9	67	1013	2	0	7,2
15/01/2022	19	1,8	168	10,6	76	1013	1	0	4,5
15/01/2022	20	0,5	190	10	81	1014	1	0	2
15/01/2022	21	0,1	269	9,5	81	1014	1	0	1,3
15/01/2022	22	1,4	303	7,7	78	1014	1	0	3,6
15/01/2022	23	1,7	309	6,4	84	1015	1	0	4,9
16/01/2022	00	2,5	310	6,1	79	1015	1	0	6
16/01/2022	01	3,3	310	6	72	1014	1	0	7,2
16/01/2022	02	3,4	307	5,8	67	1015	1	0	8,2
16/01/2022	03	3,6	298	5,5	65	1015	1	0	8,1
16/01/2022	04	3,7	298	5,6	61	1015	1	0	7,6
16/01/2022	05	2,3	287	5,1	60	1015	1	0	6,1
16/01/2022	06	3,9	301	5,1	56	1015	1	0	8,3
16/01/2022	07	2,8	307	4,5	60	1016	2	0	6
16/01/2022	08	2,4	291	4	62	1017	36	0	5,6
16/01/2022	09	2,2	294	5,1	58	1017	202	0	6
16/01/2022	10	0,7	286	7,1	54	1018	370	0	3,4
16/01/2022	11	0,1	271	10,8	44	1018	493	0	1,1
16/01/2022	12	0,1	237	13,1	39	1018	560	0	0,7
16/01/2022	13	0,1	222	14,3	36	1016	549	0	1,7
16/01/2022	14	0,8	161	14,4	37	1016	505	0	3
16/01/2022	15	2,4	137	12,9	42	1016	388	0	3,9
16/01/2022	16	2,8	129	12,5	40	1016	229	0	5,4
16/01/2022	17	3	127	11,6	51	1016	65	0	4,6
16/01/2022	18	1,7	136	10,6	63	1017	2	0	2,7
16/01/2022	19	0,1	173	10,1	67	1018	1	0	0,2
16/01/2022	20	0,2	333	9,2	66	1018	1	0	0,9
16/01/2022	21	0,1	340	8,3	67	1018	1	0	0,9
16/01/2022	22	1,6	313	6,8	69	1019	1	0	3,2
16/01/2022	23	3,2	313	6	69	1019	1	0	6,4
17/01/2022	00	3,9	315	5,5	68	1020	1	0	7,2
17/01/2022	01	3,2	311	5,2	67	1020	1	0	6,7
17/01/2022	02	4,2	311	4,9	66	1020	1	0	7,8
17/01/2022	03	3	308	4,7	61	1020	1	0	7,2
17/01/2022	04	2,8	308	4,3	61	1019	1	0	7
17/01/2022	05	3,1	304	4	60	1019	1	0	7,5
17/01/2022	06	3,4	304	4	58	1019	1	0	8,6
17/01/2022	07	2,8	299	4	55	1020	2	0	7,5
17/01/2022	08	2,5	289	3,7	58	1020	41	0	7,1
17/01/2022	09	3,3	304	5	52	1021	203	0	8,6
17/01/2022	10	0,7	297	7,5	44	1021	375	0	4,3
17/01/2022	11	0,1	273	10,6	39	1021	497	0	1
17/01/2022	12	0,1	236	13	34	1021	559	0	0,7
17/01/2022	13	0,2	179	14,2	33	1020	548	0	1,7
17/01/2022	14	0,4	182	14,1	36	1019	502	0	2
17/01/2022	15	1,5	149	13,6	35	1018	392	0	3,6
17/01/2022	16	2,3	138	13,1	39	1018	235	0	4,5
17/01/2022	17	3,2	137	12	43	1018	70	0	4,6
17/01/2022	18	1,7	149	10,9	51	1018	2	0	3,2
17/01/2022	19	0,1	233	9,8	62	1019	1	0	0,1
17/01/2022	20	0,3	281	8,9	68	1019	1	0	1,2
17/01/2022	21	2,3	312	8,3	66	1019	1	0	4,1
17/01/2022	22	1,2	316	6,8	66	1019	1	0	2,6
17/01/2022	23	2,3	313	5,7	66	1019	1	0	4,6
18/01/2022	00	2,1	313	5,2	64	1019	1	0	4,9
18/01/2022	01	3,1	308	4,3	65	1018	1	0	6,6
18/01/2022	02	3	310	4,2	62	1018	1	0	6,2
18/01/2022	03	1,9	300	3,9	61	1018	2	0	4,5
18/01/2022	04	1,3	276	3,6	62	1018	1	0	4
18/01/2022	05	1,9	282	4,1	58	1017	1	0	5,1
18/01/2022	06	1,9	294	3,3	58	1017	1	0	4,8
18/01/2022	07	0,8	294	3,5	56	1018	2	0	2,9
18/01/2022	08	0,1	274	3,7	55	1018	44	0	1,2
18/01/2022	09	0,1	231	5,5	54	1019	215	0	0,2
18/01/2022	10	0,3	302	6,8	44	1019	385	0	1,9
18/01/2022	11	0,1	298	10,1	35	1019	512	0	0,7
18/01/2022	12	0,1	224	13,3	29	1018	578	0	0,7
18/01/2022	13	0,4	157	13,4	31	1018	565	0	2,3
18/01/2022	14	2	140	12,8	34	1017	525	0	4,3
18/01/2022	15	2,7	135	11,9	41	1017	406	0	5,3
18/01/2022	16	2,1	133	12	46	1016	244	0	4,1
18/01/2022	17	0,3	119	12,7	53	1017	73	0	0,9
18/01/2022	18	0,2	118	10,4	68	1017	2	0	0,7
18/01/2022	19	1,1	304	9,6	74	1018	1	0	2,9
18/01/2022	20	1	312	9,1	73	1018	1	0	3
18/01/2022	21	0,9	318	7,4	73	1019	1	0	2,4
18/01/2022	22	2,3	322	6,6	74	1019	1	0	4,5
18/01/2022	23	4	317	5,6	66	1020	1	0	7,1
19/01/2022	00	4,3	317	4,9	64	1020	2	0	7,4
19/01/2022	01	4,3	315	4,6	58	1019	2	0	7,9
19/01/2022	02	4,7	315	4,1	57	1019	2	0	7,9
19/01/2022	03	4,8	314	3,7	55	1019	2	0	8,1
19/01/2022	04	3,8	311	3,4	52	1019	2	0	7,4
